"Year","Ndays","Ndets","ID","CamNum_Redux"
2015,121,0,3655,658
2016,118,0,3655,658
2017,102,0,3655,658
2018,100,1,3655,658
2018,121,0,3279,659
2017,66,0,3279,660
2018,38,1,3509,661
2017,54,1,1044,662
2018,11,0,1044,663
2015,44,6,3797,664
2017,83,1,1044,665
2018,121,2,1044,665
2017,92,0,1122,666
2018,87,1,1122,666
2017,45,0,1122,667
2018,55,2,1122,667
2017,101,4,1201,668
2018,103,0,1201,668
2018,58,1,2864,669
2015,92,2,3798,670
2015,26,0,3727,671
2016,24,0,3727,671
2016,95,0,3727,672
2016,70,1,3798,673
2017,107,0,3798,673
2017,121,7,1202,674
2018,5,0,1202,674
2018,44,0,3435,675
2017,46,0,3510,676
2018,106,0,3869,677
2017,121,0,3798,678
2018,121,2,3798,678
2015,96,0,3798,679
2016,113,0,3798,679
2017,121,0,3798,679
2018,97,0,3798,680
2015,73,0,3656,681
2016,118,0,3656,681
2017,68,0,3656,681
2018,20,0,3656,681
2015,121,0,3656,682
2016,10,0,3656,682
2015,121,4,3798,683
2016,100,0,3798,683
2017,121,0,3798,683
2018,121,1,3798,683
2015,121,0,3727,684
2017,121,0,3727,684
2018,121,4,3727,684
2016,118,2,3727,685
2017,50,0,3727,685
2015,121,0,3727,686
2015,121,0,3656,687
2016,121,0,3656,687
2017,121,0,3656,687
2018,3,0,3656,687
2015,55,2,3869,688
2017,115,0,4602,689
2018,121,0,4602,689
2015,121,0,3869,690
2017,121,0,3869,690
2018,50,0,3869,690
2018,121,0,3869,691
2015,114,0,3727,692
2018,117,2,3727,692
2015,77,1,1922,693
2017,110,0,4716,694
2018,62,0,4716,694
2015,77,3,1838,695
2015,77,1,1922,696
2015,77,0,2006,697
2018,89,0,4996,698
2015,77,1,1838,699
2015,77,1,1922,700
2015,71,0,3798,701
2016,20,0,3798,701
2016,52,0,3798,702
2017,51,1,3798,702
2017,121,0,3798,703
2018,121,0,3798,703
2015,121,0,3727,704
2017,99,1,3727,704
2018,121,3,3869,705
2015,67,0,3798,706
2015,121,0,3869,707
2016,121,7,3869,707
2017,121,11,3869,707
2018,121,6,3869,708
2015,121,4,3869,709
2016,121,1,3869,709
2017,121,3,3869,709
2018,121,5,3869,709
2018,35,11,3798,710
2017,75,0,3727,711
2015,73,0,3656,712
2017,121,1,3656,712
2018,121,1,3656,712
2015,42,0,3727,713
2016,18,2,3727,713
2015,115,0,3656,714
2016,39,0,3656,714
2017,121,2,3656,714
2018,121,0,3656,714
2016,63,2,3727,715
